,region,farm_size_ha,barley_variety,variety_maturity,soil_type,soil_ph,organic_matter_percent,nitrogen_content_percent,phosphorus_content_ppm,potassium_content_ppm,growing_season_temp_c,rainfall_mm,sunshine_hours_day,yield_tons_ha
432,Marrakech-Tensift-Al Haouz,,Chifaa,Medium,Loam,8.3,1.21,0.17,12.3,197.55,19.49,207.19,8.12,3.34
433,Chaouia-Ouardigha,20.09,Assiya,Medium,Vertisol,7.5,1.13,,13.29,130.45,,250.47,7.82,5.23
434,Chaouia-Ouardigha,21.91,Amira,Late,Vertisol,7.0,1.0,0.2,10.06,139.77,21.37,443.55,6.39,4.05
435,Meknès-Tafilalet,12.17,Assiya,Medium,Clay,7.4,1.41,0.2,22.7,217.47,17.9,281.48,6.25,4.05
436,Chaouia-Ouardigha,11.75,Khnata,Early,Clay,7.0,1.65,0.24,16.39,189.75,,344.2,7.11,2.48
437,Souss-Massa-Drâa,12.46,Amira,Late,Sandy,7.5,1.78,0.12,17.73,205.61,24.42,252.4,7.94,5.17
438,Meknès-Tafilalet,7.72,Massine,Late,Loam,7.7,1.6,0.08,17.68,141.43,20.84,253.6,7.77,1.83
439,Chaouia-Ouardigha,6.93,Massine,Late,Sandy,6.8,1.23,0.17,14.98,112.77,20.91,434.41,6.34,1.27
440,Chaouia-Ouardigha,6.46,Assiya,Medium,Vertisol,7.1,1.65,0.2,11.27,137.66,18.52,438.04,10.47,1.96
441,Tanger-Tétouan,5.35,Assiya,Medium,Loam,7.0,1.55,0.21,20.67,180.25,18.57,,7.52,2.34
442,Gharb-Chrarda-Beni Hssen,11.88,Khnata,Early,Clay,7.4,2.67,0.11,17.54,95.32,21.41,512.61,7.94,2.41
443,Gharb-Chrarda-Beni Hssen,10.76,Massine,Late,Vertisol,7.7,2.59,0.12,17.08,117.87,19.78,432.66,7.13,4.35
444,Souss-Massa-Drâa,11.93,Massine,Late,Loam,7.5,1.51,0.17,,86.53,23.29,261.65,8.79,2.09
445,Tadla-Azilal,,Amira,Late,Loam,6.6,1.14,0.14,11.55,140.53,21.43,368.6,5.45,4.38
446,Tanger-Tétouan,6.88,Chifaa,Medium,Clay,7.4,,0.23,13.22,195.84,20.39,258.28,9.17,1.46
447,Rabat-Salé-Zemmour-Zaër,2.64,Amira,Late,Clay,7.5,1.93,0.16,16.08,83.45,22.8,474.45,7.58,1.74
448,Gharb-Chrarda-Beni Hssen,5.26,Amira,Late,Clay,7.3,2.04,0.22,23.99,,23.02,470.02,8.06,3.54
449,Chaouia-Ouardigha,15.85,Khnata,Early,Sandy,7.1,1.61,0.18,,,,348.29,7.02,5.61
450,Rabat-Salé-Zemmour-Zaër,1.78,Assiya,Medium,Loam,7.4,2.56,0.21,18.6,113.17,18.71,333.2,7.46,5.3
451,Marrakech-Tensift-Al Haouz,3.7,Amira,Late,Sandy,8.1,1.48,0.14,18.95,177.11,22.64,236.55,8.4,5.84
452,Gharb-Chrarda-Beni Hssen,9.17,Amira,Late,Vertisol,,2.21,0.22,29.28,216.51,20.4,546.46,6.07,4.25
453,Tadla-Azilal,11.17,Assiya,Medium,Vertisol,6.5,1.56,0.13,12.97,214.72,19.82,292.08,7.35,4.38
454,Chaouia-Ouardigha,29.96,Massine,Late,Vertisol,7.1,1.29,0.17,13.48,112.89,20.04,412.15,8.89,4.13
455,Gharb-Chrarda-Beni Hssen,14.03,Khnata,Early,Clay,7.3,1.74,0.12,23.76,94.05,21.54,,8.05,4.11
456,Chaouia-Ouardigha,21.06,Assiya,Medium,Vertisol,6.9,0.8,0.16,13.23,100.76,17.39,335.85,7.3,1.74
457,Gharb-Chrarda-Beni Hssen,6.61,Amira,Late,Vertisol,7.7,1.85,0.13,34.7,178.28,21.89,530.62,7.81,3.72
458,Chaouia-Ouardigha,20.9,Amira,Late,Vertisol,7.0,1.69,0.13,21.84,181.61,22.16,242.29,7.04,2.93
459,Chaouia-Ouardigha,24.64,Amira,Late,Sandy,7.2,1.22,0.24,10.8,174.39,22.49,268.03,8.86,3.21
460,Chaouia-Ouardigha,7.96,Khnata,Early,Vertisol,7.4,1.4,0.11,8.1,127.05,22.72,359.64,7.88,3.62
461,Meknès-Tafilalet,6.44,Khnata,Early,Clay,7.2,1.69,,8.73,103.77,21.23,,8.84,1.64
462,Meknès-Tafilalet,12.68,Amira,Late,Clay,,1.71,0.25,,161.31,18.95,326.0,8.12,2.8
463,Marrakech-Tensift-Al Haouz,6.07,Amira,Late,Clay,7.8,1.07,0.08,,147.72,21.92,236.68,7.78,1.32
464,Tanger-Tétouan,8.79,Khnata,Early,Loam,8.0,1.9,0.2,17.07,,19.34,358.2,6.86,5.9
465,Gharb-Chrarda-Beni Hssen,9.02,Amira,Late,Vertisol,7.1,2.76,0.12,32.16,141.79,19.42,368.88,8.0,1.59
466,Fès-Boulemane,3.17,Assiya,Medium,Sandy,7.1,1.05,0.09,20.52,127.41,17.77,331.36,7.63,2.29
467,Souss-Massa-Drâa,5.75,Amira,Late,Loam,8.4,1.17,0.15,11.67,121.09,21.74,264.26,,5.46
468,Doukkala-Abda,13.36,Chifaa,Medium,Clay,7.3,1.98,0.24,22.99,109.61,21.17,412.32,7.99,3.41
469,Tanger-Tétouan,0.88,Khnata,Early,Loam,7.2,1.44,0.08,16.63,117.2,20.36,359.37,7.98,1.68
470,Chaouia-Ouardigha,5.6,Khnata,Early,Vertisol,7.2,0.8,0.18,21.77,,21.24,296.39,5.92,2.92
471,Tanger-Tétouan,12.56,Chifaa,Medium,Clay,7.9,,0.17,22.27,128.56,22.86,341.59,5.04,1.58
472,Chaouia-Ouardigha,11.83,Amira,Late,Vertisol,7.9,1.4,0.23,23.47,,22.11,325.7,7.41,2.0
473,Souss-Massa-Drâa,8.01,Amira,Late,Loam,8.3,1.03,0.09,16.66,106.1,22.19,251.23,,1.26
474,Gharb-Chrarda-Beni Hssen,4.83,Chifaa,Medium,Vertisol,7.5,1.99,0.2,28.89,184.55,18.77,521.16,8.61,3.19
475,Tanger-Tétouan,14.14,Chifaa,Medium,Loam,7.2,1.51,0.2,9.9,125.57,19.76,318.57,6.11,5.03
476,Chaouia-Ouardigha,11.48,Massine,Late,Vertisol,6.9,2.08,0.19,17.61,173.55,19.67,289.52,8.01,3.93
477,Marrakech-Tensift-Al Haouz,6.73,Assiya,Medium,Sandy,8.0,1.38,0.24,12.23,180.36,20.85,287.56,8.91,4.03
478,Tanger-Tétouan,13.15,Assiya,Medium,Loam,7.6,1.93,0.22,15.34,161.37,18.88,547.05,6.17,2.0
479,Gharb-Chrarda-Beni Hssen,12.71,Assiya,Medium,Vertisol,6.9,2.91,0.09,27.68,214.22,21.41,493.45,7.23,2.72
480,Marrakech-Tensift-Al Haouz,3.2,Khnata,Early,Loam,,2.07,0.16,12.37,83.0,21.81,,9.19,5.23
481,Meknès-Tafilalet,12.14,Amira,Late,Clay,7.7,1.61,0.15,8.89,183.41,18.18,263.16,7.39,1.44
482,Gharb-Chrarda-Beni Hssen,7.14,Khnata,Early,Vertisol,7.3,1.22,0.13,15.2,214.23,23.49,382.0,6.56,5.29
483,Marrakech-Tensift-Al Haouz,7.5,Massine,Late,Loam,8.2,1.68,0.16,8.38,200.72,21.68,247.93,7.73,3.42
484,Marrakech-Tensift-Al Haouz,2.44,Amira,Late,Clay,8.1,1.92,0.15,8.14,103.5,23.03,,9.3,5.19
485,Tadla-Azilal,1.67,Amira,Late,Clay,7.2,1.47,0.15,9.88,125.75,19.45,374.47,7.55,2.59
486,Chaouia-Ouardigha,23.2,Assiya,Medium,Sandy,7.0,2.2,0.25,12.07,104.14,16.84,262.56,8.07,2.69
487,Fès-Boulemane,7.7,Khnata,Early,Loam,6.9,1.84,0.1,11.76,164.18,22.08,338.91,7.1,4.76
488,Tadla-Azilal,6.83,Khnata,Early,Vertisol,8.4,1.73,0.24,24.78,179.71,18.61,486.45,6.87,4.92
489,Souss-Massa-Drâa,11.08,Assiya,Medium,Loam,8.0,1.93,0.16,13.2,124.39,23.41,310.17,7.26,2.15
490,Gharb-Chrarda-Beni Hssen,11.6,Khnata,Early,Loam,7.1,2.37,0.19,17.55,155.53,22.15,465.33,7.22,5.86
491,Marrakech-Tensift-Al Haouz,2.8,Amira,Late,Clay,7.6,0.8,0.22,17.27,176.73,21.98,218.15,10.08,1.42
492,Fès-Boulemane,9.35,Chifaa,Medium,Clay,9.0,1.3,0.14,22.59,138.99,18.29,264.02,7.07,1.34
493,Doukkala-Abda,8.38,Chifaa,Medium,Sandy,7.0,1.98,0.15,28.56,199.56,23.94,363.21,6.32,3.98
494,Gharb-Chrarda-Beni Hssen,11.39,Amira,Late,Vertisol,7.1,,0.15,20.92,188.02,16.87,471.1,7.1,4.61
495,Gharb-Chrarda-Beni Hssen,10.03,Khnata,Early,Clay,7.3,2.09,0.14,26.23,89.05,18.52,436.55,8.09,5.8
496,Marrakech-Tensift-Al Haouz,14.37,Chifaa,Medium,Sandy,8.2,1.08,0.24,20.15,166.96,23.74,226.53,9.59,3.02
497,Chaouia-Ouardigha,6.72,Chifaa,Medium,Vertisol,7.5,2.21,0.22,20.38,112.95,20.14,387.16,7.68,1.13
498,Tanger-Tétouan,1.33,Khnata,Early,Clay,8.4,2.17,0.1,,158.05,20.03,335.4,7.69,4.01
499,Tanger-Tétouan,4.59,Amira,Late,Loam,7.8,1.15,0.1,22.8,213.96,20.21,388.76,8.8,2.45
500,Meknès-Tafilalet,4.29,Khnata,Early,Clay,7.0,1.56,0.15,22.79,203.07,19.4,,8.22,3.16
501,Marrakech-Tensift-Al Haouz,,Chifaa,Medium,Sandy,7.9,1.23,0.1,17.84,136.63,,300.75,7.63,3.44
502,Fès-Boulemane,13.64,Massine,Late,Sandy,7.7,1.75,0.19,15.31,120.81,12.43,418.45,7.41,1.32
503,Souss-Massa-Drâa,4.12,Khnata,Early,Sandy,8.8,1.7,0.1,18.91,112.82,19.95,222.77,8.82,3.43
504,Meknès-Tafilalet,4.44,Chifaa,Medium,Loam,6.8,1.82,0.17,21.91,154.55,17.26,361.88,8.45,3.13
505,Doukkala-Abda,23.98,Amira,Late,Vertisol,8.1,1.63,0.08,15.11,95.99,16.34,408.52,6.52,4.56
506,Tadla-Azilal,7.02,Massine,Late,Vertisol,7.6,2.67,0.13,24.86,156.9,20.81,450.96,9.25,4.23
507,Souss-Massa-Drâa,11.76,Assiya,Medium,Loam,8.3,1.09,0.2,11.11,80.19,21.49,250.98,10.5,1.93
508,Tadla-Azilal,1.45,Chifaa,Medium,Clay,7.4,0.82,0.16,15.99,125.34,18.27,214.6,6.87,2.03
509,Meknès-Tafilalet,7.57,Khnata,Early,Clay,7.1,,0.25,22.82,110.79,21.21,289.07,9.09,2.26
511,Gharb-Chrarda-Beni Hssen,1.41,Khnata,Early,Clay,7.4,1.45,0.14,24.54,,16.84,,7.29,4.29
512,Tadla-Azilal,13.64,Massine,Late,Clay,8.0,1.1,0.09,10.25,128.95,,435.77,7.72,5.97
513,Souss-Massa-Drâa,,Chifaa,Medium,Sandy,8.0,1.13,0.22,14.72,93.0,21.55,279.07,,4.26
514,Chaouia-Ouardigha,18.31,Chifaa,Medium,Vertisol,7.0,1.12,0.23,11.01,152.35,21.0,355.78,6.89,4.03
515,Chaouia-Ouardigha,15.28,Massine,Late,Vertisol,6.7,1.71,0.22,14.18,109.88,20.99,425.81,6.37,3.05
516,Gharb-Chrarda-Beni Hssen,5.54,Khnata,Early,Vertisol,7.4,1.95,0.1,22.47,155.1,22.58,459.68,6.78,2.56
517,Souss-Massa-Drâa,13.55,Assiya,Medium,Sandy,8.2,1.43,0.25,24.88,196.95,22.96,269.26,8.06,5.56
518,Tanger-Tétouan,0.82,Khnata,Early,Loam,7.0,1.86,0.12,24.91,166.21,20.29,377.55,6.03,5.85
519,Doukkala-Abda,21.59,Khnata,Early,Sandy,7.2,1.19,0.2,17.3,168.73,18.02,309.73,8.44,3.48
520,Marrakech-Tensift-Al Haouz,14.47,Khnata,Early,Clay,7.8,1.39,,20.34,155.74,,269.86,9.6,2.45
521,Gharb-Chrarda-Beni Hssen,8.62,Assiya,Medium,Vertisol,6.8,2.38,0.12,16.03,209.82,18.06,420.03,6.49,4.85
522,Tanger-Tétouan,14.08,Khnata,Early,Sandy,7.1,0.8,0.23,8.51,210.47,20.71,299.41,7.86,1.66
523,Souss-Massa-Drâa,1.26,Khnata,Early,Loam,7.5,0.8,,9.79,151.78,20.25,242.73,8.73,4.83
524,Souss-Massa-Drâa,6.57,Khnata,Early,Clay,7.8,1.64,0.25,24.41,122.81,25.24,322.57,8.53,5.09
525,Gharb-Chrarda-Beni Hssen,4.27,Khnata,Early,Vertisol,7.0,2.45,0.13,33.82,144.34,17.89,394.0,5.93,1.62
526,Gharb-Chrarda-Beni Hssen,11.1,Massine,Late,Vertisol,6.7,3.23,0.24,18.88,106.12,22.14,410.89,9.26,5.88
527,Fès-Boulemane,14.73,Chifaa,Medium,Clay,8.5,1.56,0.09,10.75,169.09,17.08,241.3,6.33,5.93
528,Chaouia-Ouardigha,11.41,Massine,Late,Sandy,7.6,1.83,0.2,12.09,150.01,21.29,,7.72,5.68
529,Souss-Massa-Drâa,9.99,Assiya,Medium,Sandy,7.7,1.42,0.17,16.76,94.46,19.9,229.87,9.81,3.48
530,Souss-Massa-Drâa,3.37,Khnata,Early,Sandy,,1.62,,17.68,107.67,22.8,242.38,7.34,2.23
531,Tanger-Tétouan,8.7,Chifaa,Medium,Loam,7.7,2.17,0.12,11.77,147.15,20.52,359.28,7.83,3.91
532,Tanger-Tétouan,7.23,Assiya,Medium,Loam,8.1,0.8,0.2,20.86,204.26,20.89,361.84,6.37,3.1
534,Rabat-Salé-Zemmour-Zaër,9.32,Khnata,Early,Loam,8.0,3.27,0.17,23.68,175.41,17.71,339.29,6.18,3.12
535,Tadla-Azilal,5.57,Khnata,Early,Clay,7.2,1.61,0.12,19.16,127.46,21.47,400.61,8.33,4.32
536,Souss-Massa-Drâa,2.15,Khnata,Early,Sandy,7.5,2.16,0.24,15.42,160.0,22.46,208.93,6.79,1.35
537,Doukkala-Abda,8.78,Assiya,Medium,Clay,7.9,1.25,0.08,30.8,142.63,20.31,,7.64,2.67
539,Chaouia-Ouardigha,11.27,Khnata,Early,Clay,8.0,1.51,0.12,12.94,87.08,18.85,324.15,,4.75
540,Tadla-Azilal,12.83,Khnata,Early,Vertisol,6.9,0.8,0.15,,149.06,17.6,329.09,6.73,4.2
541,Marrakech-Tensift-Al Haouz,8.64,Chifaa,Medium,Clay,8.3,1.03,0.12,23.91,121.44,23.49,242.55,8.47,1.31
542,Doukkala-Abda,18.08,Khnata,Early,Vertisol,7.3,1.06,0.16,18.29,125.67,17.75,310.88,8.29,5.82
543,Meknès-Tafilalet,2.16,Assiya,Medium,Loam,7.9,,0.23,8.72,214.53,17.8,380.53,8.98,1.11
544,Marrakech-Tensift-Al Haouz,12.97,Chifaa,Medium,Clay,7.4,1.85,0.2,15.72,105.58,19.56,247.43,7.08,3.95
545,Gharb-Chrarda-Beni Hssen,10.98,Khnata,Early,Vertisol,6.8,2.36,0.18,,123.57,17.82,452.11,8.15,4.88
546,Chaouia-Ouardigha,6.69,Khnata,Early,Vertisol,7.0,1.83,0.1,21.12,151.38,20.3,454.48,6.79,4.94
547,Meknès-Tafilalet,10.76,Assiya,Medium,Clay,7.5,1.43,0.2,23.63,200.82,23.69,371.18,7.22,1.17
548,Gharb-Chrarda-Beni Hssen,8.38,Assiya,Medium,Vertisol,7.0,2.8,0.11,25.66,138.33,20.18,,,5.53
549,Rabat-Salé-Zemmour-Zaër,1.69,Amira,Late,Clay,7.8,2.2,0.21,9.7,184.14,18.05,470.26,6.36,5.59
550,Gharb-Chrarda-Beni Hssen,7.15,Chifaa,Medium,Vertisol,7.5,2.23,0.12,26.77,199.89,19.06,472.24,4.92,3.81
551,Souss-Massa-Drâa,7.53,Khnata,Early,Loam,8.2,1.39,0.15,21.23,123.4,21.94,264.92,9.58,3.41
552,Marrakech-Tensift-Al Haouz,2.9,Amira,Late,Sandy,8.6,1.77,,9.59,134.99,19.78,221.22,6.72,1.22
553,Marrakech-Tensift-Al Haouz,14.21,Assiya,Medium,Sandy,8.2,1.33,0.23,10.94,129.92,21.06,249.65,9.25,3.81
554,Souss-Massa-Drâa,12.82,Khnata,Early,Sandy,7.5,1.89,0.1,8.21,196.6,23.7,,7.44,3.05
555,Gharb-Chrarda-Beni Hssen,10.2,Amira,Late,Vertisol,7.6,1.63,0.18,26.87,86.21,21.3,516.13,5.48,4.86
556,Chaouia-Ouardigha,16.56,Khnata,Early,Vertisol,7.0,1.06,0.1,23.07,123.18,20.17,298.11,7.89,3.02
558,Rabat-Salé-Zemmour-Zaër,9.94,Khnata,Early,Clay,8.3,2.16,,24.69,159.16,21.48,549.17,6.53,1.51
559,Marrakech-Tensift-Al Haouz,8.41,Assiya,Medium,Sandy,8.2,1.32,0.15,9.07,141.08,22.35,188.92,9.02,1.66
560,Meknès-Tafilalet,1.4,Assiya,Medium,Sandy,6.8,1.86,0.16,23.35,155.59,22.24,411.49,6.28,1.7
562,Chaouia-Ouardigha,25.16,Khnata,Early,Vertisol,7.6,1.42,0.17,13.34,140.3,21.85,415.43,6.23,3.71
563,Chaouia-Ouardigha,16.48,Assiya,Medium,Vertisol,7.1,2.06,0.16,24.55,150.24,21.88,445.92,6.56,4.97
564,Gharb-Chrarda-Beni Hssen,1.25,Assiya,Medium,Clay,7.2,2.97,0.18,20.76,206.17,17.38,473.95,6.88,4.05
565,Marrakech-Tensift-Al Haouz,11.9,Amira,Late,Sandy,8.3,2.13,0.2,,116.52,20.72,259.64,8.71,3.87
566,Gharb-Chrarda-Beni Hssen,3.42,Amira,Late,Vertisol,7.4,2.06,0.1,32.61,201.5,19.66,438.58,8.33,4.4
567,Gharb-Chrarda-Beni Hssen,4.25,Amira,Late,Vertisol,7.3,2.82,0.22,30.15,170.19,20.42,489.53,8.65,2.7
568,Tadla-Azilal,2.89,Chifaa,Medium,Loam,7.4,1.12,0.15,17.58,82.85,21.41,381.49,,2.81
569,Fès-Boulemane,5.29,Chifaa,Medium,Clay,7.3,1.14,0.09,10.04,181.45,16.24,345.7,6.22,2.57
570,Gharb-Chrarda-Beni Hssen,11.47,Assiya,Medium,Vertisol,7.5,1.02,,25.64,84.98,18.37,490.73,8.29,4.56
572,Gharb-Chrarda-Beni Hssen,3.47,Chifaa,Medium,Vertisol,7.1,1.77,0.1,30.84,202.17,19.17,437.89,7.96,1.07
573,Marrakech-Tensift-Al Haouz,,Massine,Late,Sandy,8.4,1.45,0.19,20.89,121.63,21.12,157.81,9.54,3.98
574,Souss-Massa-Drâa,13.25,Chifaa,Medium,Clay,7.9,1.14,0.23,23.48,116.04,23.86,,8.06,5.71
575,Tadla-Azilal,13.12,Assiya,Medium,Clay,7.1,1.78,0.23,8.25,133.4,19.05,,9.04,4.05
576,Chaouia-Ouardigha,10.97,Khnata,Early,Sandy,7.0,1.35,0.24,21.75,129.86,20.02,253.34,8.03,4.91
577,Tadla-Azilal,7.04,Assiya,Medium,Clay,7.0,0.98,0.23,23.95,132.13,18.34,296.8,7.35,4.36
578,Gharb-Chrarda-Beni Hssen,14.78,Amira,Late,Vertisol,7.1,2.42,0.08,30.79,124.56,18.53,482.48,7.15,3.49
579,Doukkala-Abda,24.3,Assiya,Medium,Vertisol,8.1,0.93,0.14,17.6,166.96,19.38,290.13,8.58,4.59
580,Gharb-Chrarda-Beni Hssen,0.89,Assiya,Medium,Vertisol,7.0,1.78,0.22,16.63,103.0,17.75,417.1,9.43,5.12
581,Tanger-Tétouan,1.45,Chifaa,Medium,Loam,7.6,0.8,0.14,8.35,198.44,17.64,414.51,5.76,2.12
582,Gharb-Chrarda-Beni Hssen,7.23,Assiya,Medium,Clay,7.0,1.49,0.18,27.57,193.74,19.39,442.04,7.25,2.68
583,Fès-Boulemane,13.68,Chifaa,Medium,Clay,7.4,1.57,0.18,18.7,146.71,20.03,490.64,7.32,2.12
584,Meknès-Tafilalet,8.31,Assiya,Medium,Clay,6.7,0.8,0.14,24.78,199.38,18.27,398.31,8.56,3.26
585,Doukkala-Abda,17.45,Assiya,Medium,Sandy,7.4,0.91,0.23,22.96,114.6,19.93,369.92,6.91,5.43
586,Chaouia-Ouardigha,7.64,Assiya,Medium,Sandy,7.1,1.5,0.17,13.64,82.46,20.92,359.98,6.93,2.73
587,Chaouia-Ouardigha,21.42,Chifaa,Medium,Vertisol,7.4,1.28,0.16,18.62,166.69,22.23,401.26,9.57,2.87
588,Chaouia-Ouardigha,25.55,Khnata,Early,Vertisol,7.3,2.3,0.25,22.04,144.11,23.35,392.11,6.87,5.3
589,Doukkala-Abda,14.51,Khnata,Early,Vertisol,6.9,2.23,0.16,33.74,159.4,22.41,320.86,6.6,3.58
590,Chaouia-Ouardigha,24.39,Massine,Late,Vertisol,7.5,1.15,0.11,21.65,205.91,23.13,269.53,6.52,3.68
591,Meknès-Tafilalet,14.48,Khnata,Early,Clay,7.6,1.72,0.17,15.25,215.79,21.06,375.93,8.7,5.3
592,Doukkala-Abda,10.09,Amira,Late,Sandy,7.6,1.8,0.22,27.7,168.82,19.92,366.92,7.06,3.45
593,Fès-Boulemane,8.09,Amira,Late,Clay,7.5,1.26,0.21,22.56,186.97,21.16,480.02,7.74,4.41
594,Souss-Massa-Drâa,4.66,Assiya,Medium,Sandy,7.8,0.9,,16.34,91.73,20.65,235.08,8.48,1.43
595,Gharb-Chrarda-Beni Hssen,12.0,Amira,Late,Vertisol,7.3,2.19,0.2,19.33,102.5,18.05,470.87,7.35,1.89
596,Meknès-Tafilalet,8.88,Khnata,Early,Loam,,1.43,0.12,10.89,182.65,19.05,377.87,9.67,3.02
597,Doukkala-Abda,20.86,Amira,Late,Vertisol,6.6,1.33,0.23,15.0,140.39,22.07,450.68,7.57,3.47
598,Doukkala-Abda,24.95,Assiya,Medium,Vertisol,7.2,1.68,0.23,29.36,142.44,24.32,290.44,8.03,5.83
599,Chaouia-Ouardigha,14.9,Amira,Late,Vertisol,7.1,1.2,0.11,9.89,123.21,19.01,377.39,7.78,5.85
600,Doukkala-Abda,,Khnata,Early,Vertisol,7.6,1.04,0.1,19.88,165.03,21.26,350.42,7.96,5.26
601,Fès-Boulemane,8.23,Amira,Late,Loam,8.1,1.54,0.25,13.06,105.92,16.73,461.3,7.9,2.58
602,Doukkala-Abda,8.95,Khnata,Early,Sandy,7.1,1.65,0.23,26.21,167.77,21.84,411.77,8.03,5.82
603,Chaouia-Ouardigha,22.4,Khnata,Early,Vertisol,7.1,,0.23,14.77,104.33,19.33,305.13,6.99,4.45
604,Chaouia-Ouardigha,24.83,Khnata,Early,Vertisol,7.0,1.87,0.23,19.47,88.94,19.77,422.5,7.08,2.96
605,Gharb-Chrarda-Beni Hssen,5.09,Khnata,Early,Vertisol,7.0,1.31,0.17,16.11,126.25,19.14,547.13,6.7,4.51
606,Doukkala-Abda,26.43,Chifaa,Medium,Vertisol,7.3,1.27,0.19,17.48,112.36,19.19,377.08,7.65,1.08
607,Gharb-Chrarda-Beni Hssen,13.64,Khnata,Early,Vertisol,7.4,2.07,0.17,24.98,204.46,17.95,481.86,8.74,1.73
608,Gharb-Chrarda-Beni Hssen,4.52,Massine,Late,Clay,6.9,1.88,0.09,21.74,87.69,22.81,454.96,6.82,5.15
609,Meknès-Tafilalet,14.76,Massine,Late,Sandy,7.7,,0.21,,104.73,18.08,262.72,7.76,4.23
610,Chaouia-Ouardigha,8.52,Amira,Late,Clay,,2.25,0.17,9.14,156.82,20.2,371.5,6.07,2.82
611,Rabat-Salé-Zemmour-Zaër,3.43,Khnata,Early,Sandy,7.2,1.77,,23.23,147.35,16.17,490.93,5.65,3.5
612,Marrakech-Tensift-Al Haouz,3.17,Assiya,Medium,Clay,7.9,2.48,0.17,19.76,86.42,21.18,300.83,7.71,5.53
613,Chaouia-Ouardigha,27.35,Chifaa,Medium,Sandy,7.7,1.67,0.16,10.07,81.02,20.59,340.03,8.37,4.16
614,Souss-Massa-Drâa,9.99,Assiya,Medium,Sandy,7.9,1.54,0.11,9.11,218.33,26.02,319.78,8.02,2.99
615,Tadla-Azilal,2.71,Khnata,Early,Vertisol,6.4,1.69,0.13,24.57,172.24,19.89,378.97,5.85,1.6
616,Chaouia-Ouardigha,16.01,Amira,Late,Vertisol,6.6,,0.11,19.58,131.16,20.57,294.67,6.45,2.47
617,Fès-Boulemane,9.42,Chifaa,Medium,Clay,7.5,1.1,0.11,15.1,145.86,17.95,201.76,7.85,5.89
618,Souss-Massa-Drâa,1.71,Chifaa,Medium,Loam,8.2,1.05,0.25,19.93,117.32,23.58,196.73,8.1,3.19
620,Doukkala-Abda,25.09,Amira,Late,Vertisol,7.6,1.51,0.13,30.6,170.87,20.79,340.84,7.5,3.49
621,Doukkala-Abda,,Khnata,Early,Clay,8.1,0.81,0.18,24.56,203.59,20.87,298.85,7.09,5.42
622,Gharb-Chrarda-Beni Hssen,14.52,Khnata,Early,Vertisol,7.0,2.21,0.18,23.6,105.78,21.1,451.68,7.36,4.02
624,Marrakech-Tensift-Al Haouz,14.77,Khnata,Early,Loam,7.3,1.56,0.21,23.75,97.02,21.1,263.99,8.84,2.95
625,Gharb-Chrarda-Beni Hssen,10.18,Khnata,Early,Vertisol,6.9,2.05,0.21,27.07,110.1,21.62,,6.92,1.15
627,Meknès-Tafilalet,2.91,Chifaa,Medium,Clay,7.4,1.86,0.13,23.63,99.71,,397.06,5.8,5.75
628,Chaouia-Ouardigha,27.05,Chifaa,Medium,Vertisol,7.2,1.17,,23.55,208.42,17.72,257.32,9.39,5.75
629,Doukkala-Abda,15.69,Amira,Late,Sandy,7.6,2.24,,34.78,144.32,22.07,328.0,7.42,5.72
630,Meknès-Tafilalet,2.85,Chifaa,Medium,Clay,7.5,2.27,0.2,22.86,90.87,18.37,295.74,8.13,5.08
631,Souss-Massa-Drâa,0.68,Khnata,Early,Sandy,7.6,1.6,0.09,24.96,214.36,20.78,181.71,9.02,4.42
632,Gharb-Chrarda-Beni Hssen,8.62,Assiya,Medium,Vertisol,7.1,2.19,0.15,19.89,203.06,18.95,401.6,10.54,5.22
633,Marrakech-Tensift-Al Haouz,8.15,Assiya,Medium,Sandy,7.4,1.91,0.18,22.32,185.66,23.72,270.36,8.03,4.0
634,Chaouia-Ouardigha,22.98,Khnata,Early,Clay,7.6,1.94,0.11,21.99,210.69,21.18,,8.63,1.67
635,Gharb-Chrarda-Beni Hssen,13.41,Assiya,Medium,Vertisol,7.1,1.8,0.16,19.62,110.82,23.58,461.71,6.91,2.96
636,Marrakech-Tensift-Al Haouz,1.65,Massine,Late,Clay,7.8,1.29,0.18,9.67,197.09,22.37,238.57,7.6,5.86
638,Doukkala-Abda,9.69,Khnata,Early,Sandy,6.9,1.66,0.21,20.92,201.77,18.49,401.39,8.68,5.34
639,Gharb-Chrarda-Beni Hssen,12.94,Khnata,Early,Loam,6.9,2.53,0.22,32.42,191.57,19.98,411.59,6.63,1.47
640,Chaouia-Ouardigha,25.48,Khnata,Early,Vertisol,6.9,0.96,0.14,,128.51,19.07,289.79,5.71,2.67
641,Fès-Boulemane,8.34,Massine,Late,Clay,7.5,1.32,0.22,8.36,188.42,15.04,,8.85,2.75
642,Doukkala-Abda,22.76,Assiya,Medium,Sandy,,0.96,0.1,24.32,116.74,21.41,360.02,8.09,1.26
643,Fès-Boulemane,5.06,Assiya,Medium,Loam,7.9,1.14,0.22,12.06,126.0,20.92,356.4,6.89,1.6
644,Chaouia-Ouardigha,16.78,Chifaa,Medium,Vertisol,8.0,,0.11,19.73,95.11,21.34,535.8,6.18,1.97
645,Souss-Massa-Drâa,12.41,Khnata,Early,Loam,7.1,1.21,0.09,17.61,210.91,,300.28,,5.19
